Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Virginia,,,,,,,,,,,,,,,,,
Caretta caretta,Loggerhead sea turtle,Northwest Atlantic Ocean DPS,4,Threatened,Reptiles,Virginia,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Virginia,,,,,,,,,,,,,,,,,
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,Virginia,,,,,,,,,,,,,,,,,
Percina williamsi,Sickle darter,Wherever found,4,Threatened,Fishes,Virginia,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,Virginia,,,,,,,,,,,,,,,,,
Chelonia mydas,Green sea turtle,North Atlantic DPS,4,Threatened,Reptiles,Virginia,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,Vermont,,,,,,,,,,,,,,,,,
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,Vermont,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,Vermont,,,,,,,,,,,,,,,,,
Astragalus robbinsii var. jesupii,Jesup's milk-vetch,Wherever found,5,Endangered,Flowering Plants,Vermont,,,,,,,,,,,,,,,,,
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,Vermont,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Vermont,,,,,,,,,,,,,,,,,
Cynomys parvidens,Utah prairie dog,Wherever found,6,Threatened,Mammals,Utah,,,,,,,,,,,,,,,,,
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,Utah,,,,,,,,,,,,,,,,,
Strix occidentalis lucida,Mexican spotted owl,Wherever found,2,Threatened,Birds,Utah,,,,,,,,,,,,,,,,,
Empidonax traillii extimus,Southwestern willow flycatcher,Wherever found,2,Endangered,Birds,Utah,,,,,,,,,,,,,,,,,
Gopherus agassizii,Desert tortoise,"Wherever found, except AZ south and east of Colorado R., and Mexico",8,Threatened,Reptiles,Utah,,,,,,,,,,,,,,,,,
Gila cypha,Humpback chub,Wherever found,6,Threatened,Fishes,Utah,,,,,,,,,,,,,,,,,
Ptychocheilus lucius,Colorado pikeminnow,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes,Utah,,,,,,,,,,,,,,,,,
